56880.9329291809 0.6365387992 9.149609e-28 1.365746e-29
56880.9352723435 0.6501221972 9.135064e-28 1.443689e-29
56880.9376150894 0.6637031795 9.440170e-28 1.443798e-29
56880.9399571986 0.6772804714 9.794944e-28 1.492956e-29
56880.9422878143 0.6907911347 9.984421e-28 1.346513e-29
56880.9446272267 0.7043527924 1.014550e-27 1.512941e-29
56880.9469733175 0.7179531656 1.020798e-27 1.397271e-29
56880.9493089218 0.7314927478 1.033944e-27 1.457108e-29
56880.9516407411 0.7450103888 1.043326e-27 1.484959e-29
56880.9539680464 0.7585018615 1.015027e-27 1.480953e-29
56880.9563002940 0.7720219849 1.015023e-27 1.433596e-29
56880.9586305160 0.7855303660 1.003408e-27 1.298499e-29
56880.9609677290 0.7990792742 9.855796e-28 1.274113e-29
56880.9633091320 0.8126524718 9.722730e-28 1.451142e-29
56880.9656389488 0.8261585040 9.610285e-28 1.509479e-29
56880.9679950862 0.8398171171 9.239177e-28 1.450162e-29
56880.9703345330 0.8533789747 8.959098e-28 1.285057e-29
56880.9726835982 0.8669965906 8.464115e-28 1.251265e-29
56880.9750171419 0.8805242279 8.168386e-28 1.163839e-29
56880.9773514611 0.8940563606 7.975634e-28 1.048299e-29
56880.9796868220 0.9075945320 7.997270e-28 9.879651e-30
56880.9820314425 0.9211863816 7.326206e-28 1.023363e-29
56880.9843801720 0.9348020509 6.981178e-28 1.020112e-29
56880.9867047106 0.9482774852 6.711889e-28 9.690541e-30
56880.9890502454 0.9618746352 6.424706e-28 9.079460e-30
56880.9913768790 0.9753622138 6.074262e-28 9.179754e-30
56880.9936993457 0.9888256371 5.551788e-28 1.075165e-29
56880.9960353430 0.0023674978 5.425138e-28 1.019404e-29
56880.9983795813 0.0159571321 4.927308e-28 1.004841e-29
56881.0007405912 0.0296439914 4.464985e-28 1.510907e-29
56881.0030647361 0.0431171433 4.320589e-28 1.475016e-29
